name	kind	ident	code_rva	shared
kRvaSkillInfoGetSkill	hash	acdd4e802e02adfcc604a981abadfd3d493f32d0dc5470ee920f8d5a9bc4f2c	0x1617730	0
kRvaSecondaryStatGetRemainTime	hash	d44c8aa2ebd7209a1af6f8d12167f9cf5290867a070b164eb49913a21499b2c	0xDC6FB0	0
kRvaGetSkillCoolTimeOver	hash	b7b3c96c7a30627556dd02cdd99cd27f4cd26a78e2079e5e4b0967088110b7d	0x135D1B0	0
kRvaIsExistSkillCoolTimeOver	hash	a428db94c27c562604b6830bd1c324244696707c5f2656c1f60a42d8d581895	0x136B780	0
kRvaGetCrc	hash	d7f953310169dcb60cead396b4ca7bd2dfd880cbb2757a44d34c97e16b3ef6f	0x1600170	0
kRvaTryDoingTeleport	hash	fe3d990e614935f6f54ec79039a1e72edbad7847f9beda6a8c455b860a1ef8e	0x10DA3F0	0
kRvaVecCtrlSetForcedFlush	hash	b2de2dc7149494830bc2b5ada214ec5112eca12f108b8ff28dee811579eb4da	0x1221700	0
kRvaMovePathSetForcedFlush	hash	e556dc270e7406a3afdcd028c15f71870bc10656e0e89b0540e9b08183749ae	0x1218100	0
kRvaVecCtrlNockBack	hash	b79835e476101b764fa754c8158d42ad6c2ecf2555d374ca138ddb9491b6319	0x12360C0	0
kRvaVecCtrlSetImpactNext	hash	d5ef6b145cd404b2339b3ffbc99e573d268ee59fd0737b199d220565af6102d	0x1221B90	0
kRvaCheckMovePortal	hash	c477adfce1dc97740fb117938453d042e2941c30fb0c5c586902c83a1b17334	0xE1B170	0
kRvaOutPacketEncode1Byte	hash	fb9faef57e1b5070df7c45e268b32f5ba7d0ad68cf9a3ed89e7d6d3a9b83406	0x1D97DA0	0
kRvaOutPacketEncodeStr	hash	e134a303f4702cf04ab319932b116c6dc30898b8ebb05c6cdae284cf5482865	0x1D985B0	0
kRvaQueueEvent	plain	UnityEngine.InputSystem.InputSystem::QueueEvent	0x4806790	0
kRvaKeyboardGetCurrent	plain	UnityEngine.InputSystem.Keyboard::get_current	0x4861C80	0
kRvaGetSettings	plain	UnityEngine.InputSystem.InputSystem::get_settings	0x4806E40	0
kRvaSetBackgroundBehavior	plain	UnityEngine.InputSystem.InputSettings::set_backgroundBehavior	0x4885210	0
kRvaSetRunInBackground	plain	UnityEngine.InputSystem.InputSystem::set_runInBackground	0x4808700	0
kRvaEnableDevice	plain	UnityEngine.InputSystem.InputSystem::EnableDevice	0x4805480	0
kRvaGetCurrentStatePtr	plain	UnityEngine.InputSystem.InputControl::get_currentStatePtr	0x480A460	0
kRvaKeyboardPreProcess	plain	UnityEngine.InputSystem.Keyboard::.PreProcessEvent	0x4863B80	0
kRvaGetHasPreProc	plain	UnityEngine.InputSystem.InputDevice::get_hasEventPreProcessor	0x4815B90	0
kRvaSetHasPreProc	plain	UnityEngine.InputSystem.InputDevice::set_hasEventPreProcessor	0x4815BA0	0
kRvaUlGetSkillLevel	hash	d37faec028e1b6715c4d9c406cd743dc89ed2c616dbcc40e32171ad674600f0	0x111F9C0	0
kRvaSiGetPureSkillLevel	hash	cb2f8f3122dd87a40a64256d451ebddf527d83d8c10a1e285b8420a53d33339	0x1618FA0	0
